pValue,ligand,data
7.05,Cc1ccccc1OCC(O)CNC(C)(C)Cc1cc2ccccc2n1C,CYP2d6_ic50
6.92,CC(C)(Cc1cc2ccccc2[nH]1)NCC(O)COc1ccc(C#N)cc1,CYP2d6_ic50
7.52,CN(CC(O)COc1ccccc1C#N)C(C)(C)Cc1cc2ccccc2[nH]1,CYP2d6_ic50
4.52,O=C(O)c1cnc(N(C(=O)c2ccc(OCc3cccc(C(F)(F)F)c3)cc2)C2CCCCC2)s1,CYP2d6_ic50
4.98,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,CYP2d6_ic50
5.46,CSc1ccc2c(c1)c(CCN)c(C)n2Cc1ccccc1Cl,CYP2d6_ic50
5.8,O=C(CCCN1CCC(C(O)c2ccc(F)cc2)CC1)c1ccc(F)cc1,CYP2d6_ic50
5.14,Clc1ccc(C(c2ccc(Cl)cc2)N2CCNCC2)cc1,CYP2d6_ic50
5.68,Clc1ccc(Cl)c(SCCCN2CCNCC2)c1,CYP2d6_ic50
5.06,CCN(CC)CCOC(=O)Cc1cccc2c(=O)cc(-c3ccccc3)oc12,CYP2d6_ic50
5.14,CN(C)CCOc1ccc(/C(=C/c2ccccc2)c2ccccc2)cc1,CYP2d6_ic50
5.66,CCCCNc1c(CN)cnc2cc(Cl)ccc12,CYP2d6_ic50
5.82,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,CYP2d6_ic50
5.62,COc1ccc2c(c1)c1c(C)c3cnccc3c(C)c1n2CCCN,CYP2d6_ic50
5.1,NCC(O)CSCc1ccc(Cl)cc1,CYP2d6_ic50
4.32,Nc1ccc2c(c1)CN1C(=O)c3ccccc3C1=N2,CYP2d6_ic50
4.4,CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,CYP2d6_ic50
4.74,CC(=O)N(C)c1ccc(Nc2cc(C)nc3ccc4nc[nH]c4c23)cc1,CYP2d6_ic50
0,O=C(O)c1ccc(CNCc2ccccc2)cc1,CYP2d6_ic50
0,O=C(N1CCOCC1)C1(c2ccccc2)CCNCC1,CYP2d6_ic50
5.07,NCCN1C(=O)c2ccccc2C1(O)c1ccc(Cl)cc1,CYP2d6_ic50
0,COc1ccc2c(c1[N+](=O)[O-])CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CYP2d6_ic50
4.96,CC(C)NC(=O)OCc1c(COC(=O)NC(C)C)c(-c2ccc(Cl)c(Cl)c2)n2c1CCC2,CYP2d6_ic50
4.19,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,CYP2d6_ic50
0,O=C1CC2(CCCCC2)C(=O)C1CC(Cl)CCl,CYP2d6_ic50
4.52,CCc1nc(N)nc(N)c1-c1ccc(NCCN)c([N+](=O)[O-])c1,CYP2d6_ic50
0,NCCCc1c(-c2ccccc2)[nH]c(N)nc1=O,CYP2d6_ic50
0,CNC/C(Cl)=N\S(=O)(=O)c1ccc(C)cc1,CYP2d6_ic50
0,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)/C=C(\C)C(C)C)[C@@H]24,CYP2d6_ic50
0,COc1ccc(S(=O)(=O)N/N=C/C(=O)O)cc1,CYP2d6_ic50
4.12,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,CYP2d6_ic50
4.03,COC12[C@H](COC(N)=O)C3=C(C(O)=C(C)C(=N)C3=O)N1C[C@H]1[C@@H]2N1C,CYP2d6_ic50
0,O=C(Cn1ccnc1[N+](=O)[O-])N(CCO)CCO,CYP2d6_ic50
0,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,CYP2d6_ic50
0,O=CC(NC(=O)N(CCCl)N=O)C(O)C(O)C(O)CO,CYP2d6_ic50
5.25,Cc1ccc(S(=O)(=O)NCc2ccc(CC(=O)N(C)[C@H](CN3CC[C@H](O)C3)c3ccccc3)cc2)cc1,CYP2d6_ic50
5.91,CNC(=O)NCc1ccc(CC(=O)N(C)[C@H](CN2CCCC2)c2ccccc2)cc1,CYP2d6_ic50
5.24,CN(C(=O)Cc1ccc(CNS(=O)(=O)Cc2ccccc2)cc1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,CYP2d6_ic50
6.53,CN(C(=O)Cc1ccccc1CNS(C)(=O)=O)[C@H](CN1CCCC1)c1ccccc1,CYP2d6_ic50
5.32,CN(C(=O)Cc1ccc(CNS(=O)(=O)Cc2cccs2)cc1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,CYP2d6_ic50
7.58,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H](CN1CCCC1)c1ccccc1,CYP2d6_ic50
7.34,CN(C(=O)Cc1ccccc1)[C@H](CN1CCCC1)c1ccccc1,CYP2d6_ic50
5.26,CN(C(=O)Cc1ccc(NS(C)(=O)=O)cc1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,CYP2d6_ic50
5.74,CN(C(=O)Cc1cccc(CNS(C)(=O)=O)c1)[C@H](CN1CCCC1)c1ccccc1,CYP2d6_ic50
5.1,CCCCS(=O)(=O)NCc1ccc(CC(=O)N(C)[C@H](CN2CC[C@H](O)C2)c2ccccc2)cc1,CYP2d6_ic50
