pValue,smiles,data
7.92,Oc1ccc2c(c1)SC(c1ccccc1)C(c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50
5.92,CCC1Oc2cc(O)cc(O)c2N=C1c1ccc(O)cc1,ERalpha_ic50
7.46,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1,ERalpha_ic50
8.8,Oc1ccc(C2=C(c3ccc(OCCN4CCCCC4)cc3)Oc3ccc(O)cc3S2)cc1,ERalpha_ic50
7.57,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1,ERalpha_ic50
7.31,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1,ERalpha_ic50
8.27,Oc1ccc([C@@H]2Sc3cc(O)c(Cl)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
8.28,Cc1cc(O)cc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,ERalpha_ic50
9,Oc1ccc([C@H]2Sc3c(ccc(O)c3F)O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
8.52,Oc1ccc([C@@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
8.17,Oc1ccc([C@@H]2Cc3ccc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
8.21,Oc1ccc2c(c1)S[C@@H](c1ccccc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50
9.29,Oc1ccc([C@@H]2Sc3c(Cl)cc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
5.22,CC1(C)Oc2cc(O)cc(O)c2N=C1c1ccc(O)c(Br)c1,ERalpha_ic50
7.54,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,ERalpha_ic50
7.25,CC1(c2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,ERalpha_ic50
7.6,Oc1ccc([C@@H]2Sc3c(O)cc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
5.22,Oc1ccc2c(c1)CCC1Oc3cc(O)ccc3N=C21,ERalpha_ic50
7.72,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCCC2)cc1,ERalpha_ic50
7.34,CC(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1,ERalpha_ic50
8,Oc1ccc([C@@H]2Sc3ccccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
9.3,Oc1ccc([C@@H]2Sc3c(F)cc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
4.8,Oc1ccc(C2=Nc3ccc(O)cc3OC2)cc1,ERalpha_ic50
5.28,CCC1Oc2cc(O)cc(O)c2N=C1c1ccc(O)c(Br)c1,ERalpha_ic50
6.5,Cc1cc(O)cc2c1N=C(c1ccc(O)c(Br)c1)C(C)O2,ERalpha_ic50
6.54,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(F)cc1,ERalpha_ic50
7.36,CC(C)c1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCC3)cc2)cc1,ERalpha_ic50
7.42,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,ERalpha_ic50
7.03,CN(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCC3)cc2)c1,ERalpha_ic50
7.41,O=C1c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,ERalpha_ic50
8.89,Oc1ccc2c(c1)S[C@@H](c1ccccc1O)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50
7.47,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,ERalpha_ic50
7.27,CCc1cc(O)cc2c1S[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50
8.28,Oc1ccc([C@@H]2Sc3cc(O)cc(Cl)c3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
7.51,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,ERalpha_ic50
7.39,COc1ccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
8.47,CC1CCCC(C)N1CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2cccc(O)c2)cc1,ERalpha_ic50
5.77,CCCC1Oc2cc(O)ccc2N=C1c1ccc(O)cc1,ERalpha_ic50
