pValue,smiles,data
7.8,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(N)=O)cc2)c1-c1ccccc1,ERalpha_ki
8,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)NC(C)C)cc2)c1-c1ccccc1,ERalpha_ki
8,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)N(C)C)cc2)c1-c1ccccc1,ERalpha_ki
7.6,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)N3CCCCC3)cc2)c1-c1ccccc1,ERalpha_ki
5.5,O=C(O)/C=C/c1ccc(Oc2c(-c3ccccc3)c(-c3ccccc3)nc3cc(O)ccc23)cc1,ERalpha_ki
7,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)O)cc2)c1-c1cccc(C(F)(F)F)c1,ERalpha_ki
5.8,CCc1nc2cc(O)ccc2c(Oc2cccc(/C=C/C(=O)O)c2)c1-c1ccccc1,ERalpha_ki
8.1,CCc1nc2cc(O)ccc2c(Oc2ccc(OCCN(C)C)cc2)c1-c1ccccc1,ERalpha_ki
8.6,CC/C(=C(\c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,ERalpha_ki
8.77,Oc1ccc(C2=C(c3ccc(OCCN4CCCCC4)cc3)c3ccc(O)cc3C2)cc1,ERalpha_ki
8.38,NC(=O)c1ccc(C2=C(c3ccc(O)cc3)Cc3cc(O)ccc32)cc1,ERalpha_ki
8.14,CC(=O)c1ccc(C2=C(c3ccc(O)cc3)Cc3cc(O)ccc32)cc1,ERalpha_ki
9.52,Cl.Oc1ccc2c3c(ccc2c1)-c1cc(F)cc(F)c1O[C@H]3c1ccc(OCCN2CCCCC2)cc1,ERalpha_ki
8.57,Oc1ccc([C@H]2Oc3ccc(O)cc3[C@H]3CCC[C@H]32)cc1,ERalpha_ki
7.84,Oc1ccc([C@H]2Oc3ccc(O)cc3[C@H]3CCC[C@H]32)cc1,ERalpha_ki
6.58,Oc1ccc(-c2c(-c3ccc(OCCN4CCCCC4)cc3)nn3c(C(F)(F)F)cc(C(F)(F)F)nc23)cc1,ERalpha_ki
6.39,CN(C)CCOc1ccc(-c2nn3c(C(F)(F)F)cc(C(F)(F)F)nc3c2-c2ccc(O)cc2)cc1,ERalpha_ki
5.48,Oc1ccc(-c2nn3cc(O)cnc3c2-c2ccc(O)cc2)cc1,ERalpha_ki
7.29,Oc1ccc(-c2nn3c(C(F)(F)F)cc(C(F)(F)F)nc3c2-c2ccccc2)cc1,ERalpha_ki
5.65,Oc1ccc(-c2c(-c3ccccc3)nn3c(C(F)(F)F)cc(C(F)(F)F)nc23)cc1,ERalpha_ki
9.4,CN(C)S(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ki
8.96,CS(=O)(=O)C1CC=C(c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)CC1,ERalpha_ki
8.72,O=S1(=O)CCC(c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)CC1,ERalpha_ki
8.99,O=S1(=O)CC=C(c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)CC1,ERalpha_ki
9.7,Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(F)c(F)c3)ccc2c1,ERalpha_ki
9.74,Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3cccc(F)c3)ccc2c1,ERalpha_ki
9.62,Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(F)cc3)ccc2c1,ERalpha_ki
9.24,CN(C)C(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ki
9.49,Oc1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ki
9.68,Oc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1,ERalpha_ki
9.62,N#Cc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1,ERalpha_ki
9.14,CC(C)S(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ki
8.91,CCS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ki
9.33,CS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ki
10.04,CC(C)c1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ki
9.32,CCS(=O)(=O)c1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ki
6.9,Oc1ccc([C@@H]2CCc3cc(O)ccc3O2)cc1,ERalpha_ki
8.54,Oc1ccc([C@H]2Oc3ccc(O)cc3[C@H]3CCCC[C@H]32)cc1,ERalpha_ki
8.21,Oc1ccc([C@H]2Oc3ccc(O)cc3[C@H]3CCCCC[C@H]32)cc1,ERalpha_ki
6.57,Oc1ccc2c(c1)[C@H]1CCC[C@H]1[C@@H](c1ccccc1)O2,ERalpha_ki
7.19,Oc1cccc([C@H]2Oc3ccc(O)cc3[C@H]3CCC[C@H]32)c1,ERalpha_ki
7.4,Oc1ccc([C@H]2Oc3ccccc3[C@H]3CCC[C@H]32)cc1,ERalpha_ki
9.46,Oc1ccc([C@H]2Oc3cccc(O)c3[C@H]3CCC[C@H]32)cc1,ERalpha_ki
7.39,Oc1ccc([C@H]2Oc3cc(O)ccc3[C@H]3CCC[C@H]32)cc1,ERalpha_ki
