ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
473,5.424,0.4433,4.221,0.526
474,5.913,0.5818,5.913,0.5818
475,5.327,0.517,5.178,0.6602
476,5.156,0.5074,4.503,0.6314
477,5.075,0.7132,5.075,0.7132
478,4.522,0.4424,4.345,0.5599
479,5.109,0.5367,4.074,0.6075
480,4.029,0.6283,3.739,0.6357
481,4.85,0.4085,4.684,0.5901
482,4.696,0.533,4.122,0.6202
483,5.052,0.4602,4.407,0.6223
484,4.94,0.4629,4.94,0.4629
485,4.953,0.565,4.785,0.5955
486,4.013,0.4684,3.994,0.5231
487,4.999,0.4481,4.603,0.4853
488,4.353,0.4312,4.121,0.5401
489,4.874,0.4678,4.274,0.5959
490,4.505,0.6665,4.505,0.6665
491,4.81,0.4666,4.192,0.5159
492,4.995,0.451,4.269,0.5122
503,6.545,0.7152,6.545,0.7152
504,5.378,0.4947,5.336,0.568
507,5.575,0.355,5.575,0.355
508,5.945,0.417,5.809,0.6221
515,4.563,0.5809,4.563,0.5809
516,4.47,0.6381,4.168,0.6392
517,5.076,0.8331,5.076,0.8331
518,5.757,0.6162,5.757,0.6162
519,5.823,0.4216,5.823,0.4216
528,5.854,0.239,4.756,0.2818
533,5.396,0.263,4.582,0.3177
534,5.18,0.3126,4.969,0.3224
535,5.684,0.2799,5.172,0.4174
538,5.969,0.3605,5.969,0.3605
541,6.038,0.5449,6.038,0.5449
542,6.27,0.4322,5.449,0.4379
562,6.541,0.3079,6.486,0.423
564,6.522,0.3702,6.401,0.4778
565,5.757,0.193,5.36,0.2109
566,6.164,0.4974,6.164,0.4974
569,5.804,0.2499,5.667,0.5373
570,6.057,0.2546,5.552,0.3332
579,6.973,0.204,5.286,0.2457
580,6.959,0.3318,6.484,0.3773
581,7.082,0.3278,6.36,0.3783
582,6.518,0.3819,6.518,0.3819
583,5.7,0.5959,4.264,0.5983
584,6.08,0.2913,5.439,0.3231
585,5.892,0.1906,5.675,0.3391
586,4.877,0.1688,4.745,0.2426
587,6.211,0.5629,6.211,0.5629
588,6.783,0.4487,6.211,0.7685
589,6.565,0.519,6.565,0.519
590,6.558,0.7168,6.558,0.7168
591,6.14,0.3507,6.135,0.4618
601,5.58,0.2406,5.372,0.3599
602,5.295,0.481,5.18,0.4824
603,5.123,0.5429,5.123,0.5429
604,5.867,0.6227,5.365,0.8031
605,5.239,0.5049,4.519,0.5763
606,5.923,0.5303,5.923,0.5303
607,5.948,0.5296,5.343,0.5665
608,5.519,0.6392,4.949,0.6821
609,5.171,0.5133,5.056,0.7539
610,5.145,0.5512,4.916,0.6936
611,5.238,0.5557,5.238,0.5557
612,5.264,0.4484,4.902,0.4824
613,5.368,0.3603,4.962,0.4926
614,6.063,0.558,6.063,0.558
615,5.512,0.4115,5.185,0.5039
616,5.639,0.4024,4.828,0.4299
617,6.008,0.4628,5.092,0.4801
618,5.275,0.4025,5.275,0.4025
619,6.415,0.4064,5.254,0.494
620,5.77,0.3713,5.454,0.4566
621,7.032,0.8019,7.032,0.8019
622,6.058,0.4685,5.06,0.5757
623,7.045,0.4069,5.885,0.4647
624,5.19,0.3288,4.855,0.3982
625,6.137,0.3944,5.713,0.4034
626,3.716,0.6747,3.716,0.6747
627,4.818,0.5324,4.818,0.5324
628,5.297,0.4432,4.865,0.5601
629,5.677,0.5626,5.677,0.5626
630,4.841,0.6002,4.841,0.6002
631,6.289,0.2978,6.269,0.3325
632,6.44,0.6307,6.44,0.6307
633,6.758,0.7263,6.758,0.7263
634,6.289,0.3908,6.09,0.4994
635,6.365,0.2522,5.679,0.4145
636,6.485,0.5505,5.547,0.6358
637,6.3,0.3487,4.901,0.5701
