ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
2438,7.534,0.3421,7.334,0.4139
2439,6.972,0.5847,6.972,0.5847
2440,6.532,0.3104,6.345,0.4781
2441,7.732,0.3364,7.596,0.5713
2442,8.083,0.6591,7.836,0.7103
2443,7.858,0.3139,7.701,0.5116
2445,7.32,0.3255,7.221,0.4357
2446,7.394,0.4145,7.394,0.4145
2447,6.57,0.3346,6.239,0.3773
2448,6.628,0.3026,6.341,0.4411
2449,6.901,0.3133,6.836,0.3704
2450,6.948,0.2721,6.653,0.3589
2451,7.262,0.2773,6.847,0.3459
2452,6.651,0.4606,6.651,0.4606
2453,7.091,0.5361,7.091,0.5361
2454,6.951,0.6868,6.951,0.6868
2455,7.768,0.5218,7.582,0.5408
2457,7.759,0.316,7.504,0.399
2459,7.206,0.3496,7.109,0.4294
2460,7.257,0.4161,6.61,0.4478
2461,7.45,0.4967,7.45,0.4967
2462,7.19,0.4804,7.13,0.4809
2464,6.814,0.4252,6.64,0.4637
2465,7.191,0.2252,7.066,0.4492
2466,7.473,0.2882,6.89,0.4101
2467,7.455,0.3399,7.256,0.4467
2470,7.983,0.4879,7.983,0.4879
2471,7.899,0.5379,7.899,0.5379
2472,7.707,0.3359,7.599,0.3974
2473,7.865,0.5231,7.865,0.5231
2474,7.805,0.5023,7.745,0.5346
2475,7.467,0.4748,7.466,0.5682
2476,7.688,0.599,7.688,0.599
