ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
565,3.902,0.6762,3.897,0.6824
566,4.521,0.445,4.488,0.4658
567,4.582,0.4649,4.573,0.4818
568,4.618,0.4523,4.617,0.4562
569,4.646,0.4548,4.646,0.4548
570,4.542,0.4788,4.46,0.493
571,4.527,0.4717,4.495,0.4879
572,4.484,0.4543,4.477,0.4567
573,4.433,0.4313,4.37,0.4328
574,4.041,0.6156,4.029,0.6238
575,4.054,0.6172,4.031,0.6211
576,4.083,0.6316,4.072,0.6355
577,4.003,0.6064,3.999,0.6086
578,4.28,0.569,4.28,0.569
579,4.23,0.5427,4.223,0.5507
580,4.463,0.5442,4.463,0.5442
581,4.281,0.4909,4.266,0.4943
582,4.324,0.5676,4.29,0.5702
583,4.206,0.5896,4.2,0.5902
584,4.137,0.6364,4.135,0.644
585,4.272,0.6075,4.272,0.6075
586,4.202,0.6228,4.198,0.6301
587,3.98,0.6781,3.973,0.6823
588,4.087,0.661,4.087,0.661
589,4.221,0.6106,4.221,0.6106
590,4.142,0.6458,4.142,0.6458
591,4.226,0.6045,4.221,0.6078
592,4.174,0.6319,4.153,0.6358
593,4.22,0.6144,4.214,0.6175
594,4.34,0.5949,4.336,0.6022
595,4.232,0.6033,4.223,0.6077
596,4.265,0.6341,4.262,0.6348
597,4.097,0.6089,4.097,0.6089
598,4.233,0.6018,4.233,0.6018
599,4.218,0.618,4.2,0.6188
600,4.208,0.6122,4.203,0.6161
601,4.178,0.6455,4.177,0.6478
602,4.176,0.6454,4.168,0.6503
603,4.46,0.4366,4.436,0.4654
604,4.36,0.4588,4.323,0.4741
605,4.258,0.4705,4.244,0.4886
606,4.496,0.3659,4.448,0.3853
607,4.556,0.3673,4.548,0.3838
608,4.467,0.3914,4.439,0.4042
609,4.454,0.3835,4.423,0.3976
610,4.389,0.4141,4.389,0.4141
611,4.486,0.3931,4.447,0.4146
612,4.402,0.4298,4.402,0.4298
613,3.825,0.5803,3.82,0.5823
614,4.103,0.5202,4.074,0.5296
615,3.918,0.5491,3.909,0.5632
616,3.892,0.5408,3.869,0.5498
617,3.843,0.5913,3.834,0.596
618,3.888,0.5535,3.888,0.5535
619,3.89,0.5451,3.862,0.5567
620,3.932,0.5595,3.899,0.5615
621,4.0,0.4956,3.971,0.4966
622,4.092,0.5168,4.034,0.5173
623,4.05,0.4838,4.049,0.4954
624,4.098,0.5621,4.098,0.5621
625,3.944,0.5084,3.942,0.5172
626,3.889,0.5402,3.866,0.5491
627,4.196,0.4561,4.182,0.4662
628,4.355,0.4318,4.293,0.4342
629,4.072,0.5423,4.052,0.5426
630,4.464,0.3893,4.457,0.4044
631,4.129,0.5055,4.087,0.5076
632,4.141,0.4316,4.102,0.4418
633,4.061,0.4695,4.046,0.4699
634,4.415,0.442,4.408,0.4468
635,4.197,0.4009,4.194,0.4099
636,4.233,0.452,4.226,0.462
637,4.157,0.4872,4.14,0.4969
638,4.245,0.4607,4.245,0.4607
639,4.171,0.4797,4.153,0.4814
640,4.125,0.5157,4.125,0.5157
641,3.997,0.4956,3.997,0.4956
642,3.919,0.5472,3.904,0.5497
643,3.987,0.553,3.964,0.5582
644,3.856,0.592,3.828,0.6008
645,4.029,0.5501,4.028,0.552
646,3.844,0.6365,3.805,0.6368
647,3.939,0.5631,3.937,0.5651
648,3.824,0.6277,3.824,0.6277
649,3.889,0.5908,3.889,0.5908
