LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
403,1,26.473,37.307,12.154,-10.833,12.154
403,2,-6.644,-7.421,52.329,0.777,52.329
403,3,25.509,32.965,10.607,-7.456,10.607
403,4,47.273,68.0,27.704,-20.727,27.704
404,1,-7.692,-9.49,1.359,1.799,1.359
405,1,65.496,88.47,16.029,-22.973,16.029
405,2,-7.748,-9.786,1.664,2.038,1.664
407,1,-6.95,-8.575,2.189,1.625,2.189
408,1,14.218,16.712,10.89,-2.494,10.89
408,2,-7.452,-8.976,11.161,1.525,11.161
408,3,178.262,219.947,-0.277,-41.685,-0.277
411,1,-9.85,-9.85,380.609,0.0,380.609
413,1,37.436,51.661,13.236,-14.225,13.236
413,2,3.995,5.864,66.076,-1.868,66.076
413,3,-0.486,-0.657,1.071,0.171,1.071
416,1,-3.938,-4.283,0.516,0.345,0.516
417,1,6.27,8.102,2.565,-1.833,2.565
417,2,-9.74,-10.878,0.167,1.139,0.167
417,3,21.396,30.152,14.301,-8.756,14.301
420,1,-7.821,-8.735,1.862,0.914,1.862
422,1,-9.157,-10.228,0.334,1.071,0.334
423,1,-8.761,-9.529,1.689,0.768,1.689
423,2,26.268,33.178,12.843,-6.91,12.843
424,1,96.844,136.474,7.098,-39.63,7.098
424,2,-8.504,-9.25,3.482,0.746,3.482
424,3,14.319,20.179,17.65,-5.86,17.65
425,1,57.317,70.72,9.19,-13.403,9.19
425,2,22.963,25.648,0.887,-2.685,0.887
426,1,110.805,204.731,40.431,-93.926,40.431
428,1,-8.153,-8.153,0.0,0.0,0.0
428,2,-9.687,-10.82,2.885,1.133,2.885
429,1,-9.927,-11.088,147.3,1.161,147.3
430,1,71.325,104.682,37.128,-33.357,37.128
430,2,149.117,192.704,22.913,-43.587,22.913
430,3,-9.215,-10.292,0.421,1.077,0.421
431,1,-5.904,-6.594,0.479,0.69,0.479
432,1,-8.078,-9.495,1.133,1.417,1.133
433,1,124.148,174.952,30.733,-50.804,30.733
435,1,-5.367,-6.308,1.37,0.941,1.37
435,2,69.743,94.206,27.007,-24.463,27.007
436,1,49.592,74.234,3.781,-24.643,3.781
436,2,-6.383,-7.316,1.039,0.933,1.039
437,1,-4.892,-5.893,0.648,1.001,0.648
437,2,26.16,36.865,89.408,-10.705,89.408
439,1,-10.073,-12.134,21.994,2.061,21.994
439,2,83.452,110.284,26.447,-26.832,26.447
440,1,-9.062,-10.122,2.349,1.06,2.349
440,2,142.098,208.554,7.525,-66.456,7.525
443,1,-8.17,-9.602,1.026,1.433,1.026
444,1,8.269,11.653,71.961,-3.384,71.961
444,2,-8.444,-10.418,1.089,1.975,1.089
446,1,-9.186,-10.26,9.792,1.074,9.792
448,1,-8.835,-9.868,1.978,1.033,1.978
448,2,-2.741,-3.302,0.854,0.561,0.854
448,3,98.307,132.789,27.435,-34.482,27.435
448,4,76.052,107.174,30.318,-31.122,30.318
449,1,-8.239,-9.202,19.371,0.963,19.371
449,2,-8.574,-10.328,18.392,1.754,18.392
450,1,13.203,19.378,8.036,-6.175,8.036
450,2,-8.33,-10.278,7.86,1.948,7.86
451,1,-10.629,-11.872,406.644,1.243,406.644
452,1,66.263,106.938,14.356,-40.674,14.356
452,2,-10.404,-11.621,43.964,1.216,43.964
455,1,-8.509,-9.255,236.137,0.746,236.137
455,2,-8.436,-9.422,0.629,0.986,0.629
457,1,-10.009,-11.179,307.404,1.17,307.404
458,1,-7.381,-8.46,1.652,1.079,1.652
458,2,-7.142,-8.395,11.896,1.253,11.896
458,3,61.62,79.632,9.43,-18.012,9.43
459,1,-10.854,-12.123,519.703,1.269,519.703
459,2,-5.647,-6.307,2.398,0.66,2.398
461,1,-5.757,-8.113,71.532,2.356,71.532
461,2,-8.076,-9.021,36.281,0.944,36.281
462,1,-12.528,-13.261,115.989,0.732,115.989
