pValue,ligand,data
7.88,COc1ccc(C(c2cc3c(cc2O)OCO3)n2ccnc2)cc1,CYP2d6_ki
4,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,CYP2d6_ki
4,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,CYP2d6_ki
6.08,COc1ccc(C(C)(C)C(F)(F)F)cc1CN[C@@H]1CCCN[C@@H]1c1ccccc1,CYP2d6_ki
6.38,COc1ccc(C(C)C)cc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,CYP2d6_ki
5.18,CNC1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,CYP2d6_ki
5.69,CN(C1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,CYP2d6_ki
6.3,CN(CCc1ccccc1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,CYP2d6_ki
6.09,CN(Cc1ccccc1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,CYP2d6_ki
5.99,CN(c1ncccn1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,CYP2d6_ki
6.07,CC(c1ccncc1)c1c(CCN(C)C)sc2ccccc12,CYP2d6_ki
4.5,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cnc3occc3c2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CYP2d6_ki
5.85,CCN(CC1CCN(S(C)(=O)=O)CC1)[C@@H](C)Cc1ccc2c(c1)CCO2,CYP2d6_ki
5.26,CCc1nc(C)c(CN2CCN(c3cc(C(F)(F)F)ccn3)CC2)[nH]1,CYP2d6_ki
5.32,Fc1cnc(N2CCN(CC3=NC(c4ccccc4)=NC3)CC2)nc1,CYP2d6_ki
5.31,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,CYP2d6_ki
4.11,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,CYP2d6_ki
6.1,COCO[C@H](c1ccccc1)[C@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
6,O=C(c1ccccc1)C(Cn1ccnn1)c1ccccc1,CYP2d6_ki
7,O=C(O[C@H](c1ccccc1)[C@H](Cn1ccnn1)c1ccccc1)c1ccccc1,CYP2d6_ki
7.22,CC(=O)O[C@H](c1ccccc1)[C@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
7.1,COCO[C@H](c1ccccc1)[C@@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
7.3,O[C@H](c1ccccc1)[C@@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
6.6,CC(=O)O[C@H](c1ccccc1)[C@@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
6.36,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN)cc1)c1ccccc1,CYP2d6_ki
7.32,CC/C(=C(/c1ccc(O)cc1)c1ccc(OCCN)cc1)c1ccccc1,CYP2d6_ki
7.11,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN)cc1)c1ccccc1,CYP2d6_ki
6.19,CC(=O)O[C@H](c1ccccc1)[C@@H](Cn1ccnn1)c1ccc(Br)cc1,CYP2d6_ki
6.46,CC(=O)O[C@H](c1ccc(F)cc1)[C@@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
6.08,O[C@H](c1ccccc1)[C@@H](Cn1ccnn1)c1ccc(Br)cc1,CYP2d6_ki
6.89,O[C@H](c1ccc(Br)cc1)[C@@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
6.7,O[C@H](c1ccc(F)cc1)[C@@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
7.7,COCO[C@H](c1ccccc1)[C@@H](Cn1ccnn1)c1ccc(Br)cc1,CYP2d6_ki
7.16,COCO[C@H](c1ccc(Br)cc1)[C@@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
6.8,COCO[C@H](c1ccc(F)cc1)[C@@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
6.62,CC(=O)O[C@H](c1ccccc1)[C@H](Cn1ccnn1)c1ccc(Br)cc1,CYP2d6_ki
7.05,CC(=O)O[C@H](c1ccc(Br)cc1)[C@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
6.96,CC(=O)O[C@H](c1ccc(F)cc1)[C@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
6.09,O[C@H](c1ccccc1)[C@H](Cn1ccnn1)c1ccc(Br)cc1,CYP2d6_ki
6.77,O[C@H](c1ccc(Br)cc1)[C@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
6.48,O[C@H](c1ccc(F)cc1)[C@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
6.96,COCO[C@H](c1ccccc1)[C@H](Cn1ccnn1)c1ccc(Br)cc1,CYP2d6_ki
7.7,COCO[C@H](c1ccc(Br)cc1)[C@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
7.1,COCO[C@H](c1ccc(F)cc1)[C@H](Cn1ccnn1)c1ccccc1,CYP2d6_ki
6.15,CCOC(=O)c1nnn(Cc2ccccc2)c1-c1ccc2c(c1)OCO2,CYP2d6_ki
6.15,CCOC(=O)c1nnn(Cc2ccccc2)c1-c1ccc(C)cc1,CYP2d6_ki
7.7,CCOC(=O)c1nnn(Cc2cccc(Br)c2)c1-c1ccc(Br)cc1,CYP2d6_ki
6.19,CCOC(=O)c1nnn(Cc2ccccc2)c1-c1ccc(Br)cc1,CYP2d6_ki
5.85,CCOC(=O)c1nnn(Cc2ccccc2)c1-c1ccccc1,CYP2d6_ki
6.82,CCOC(=O)c1nnn(Cc2cccc(Br)c2)c1-c1ccccc1,CYP2d6_ki
6.44,CCOC(=O)c1nnn(Cc2ccccc2)c1-c1ccc(Cl)cc1,CYP2d6_ki
7.52,CCOC(=O)c1nnn(Cc2cccc(Br)c2)c1-c1ccc(Cl)cc1,CYP2d6_ki
6.26,Fc1cnc(N2CCN(Cc3cnc(-c4ccccc4)[nH]3)CC2)nc1,CYP2d6_ki
7.11,CN1CCc2cc3c(cc2C(=O)Cc2cc4c(cc2C1)OCO4)OCO3,CYP2d6_ki
6.91,COc1ccc2c(c1OC)CN(C)CCc1cc3c(cc1C(=O)C2)OCO3,CYP2d6_ki
7.35,C[C@@]12CC[C@@H]3[C@H](CCC4=CC(=O)[C@@H](Cl)C[C@]43C)[C@H]1CCC2=O,CYP2d6_ki
7.35,C[C@@]12CC[C@@H]3[C@H](CCC4=CC(=O)[C@@H](Br)C[C@]43C)[C@H]1CCC2=O,CYP2d6_ki
6.17,C[C@@]12CC[C@@H]3[C@H](CCC4=CC(=O)[C@@H](O)C[C@]43C)[C@H]1CCC2=O,CYP2d6_ki
6.17,CO[C@H]1C[C@]2(C)C(=CC1=O)CC[C@@H]1[C@H]3CCC(=O)[C@]3(C)CC[C@H]12,CYP2d6_ki
6.17,CCO[C@H]1C[C@]2(C)C(=CC1=O)CC[C@@H]1[C@H]3CCC(=O)[C@]3(C)CC[C@H]12,CYP2d6_ki
6.82,C[C@@]12CC[C@@H]3[C@H](CC(=O)C4=CC(=O)CC[C@]43C)[C@H]1C[C@H](Br)C2=O,CYP2d6_ki
5.93,C[C@@]12CC[C@@H]3[C@H](CC(=O)C4=CC(=O)CC[C@]43C)[C@H]1C[C@H](O)C2=O,CYP2d6_ki
6.16,CO[C@@H]1C=C2C(=O)C[C@@H]3[C@H]4CCC(=O)[C@]4(C)CC[C@H]3[C@]2(C)CC1,CYP2d6_ki
7.34,CC1=C[C@@]2(C)C(=CC1=O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CYP2d6_ki
7.09,CC1=C[C@@]2(C)C(=CC1=O)[C@@H](Br)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CYP2d6_ki
7.51,CCCCCCC1=C[C@@]2(C)C(=C(O)C1=O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CYP2d6_ki
7.02,COC1=C[C@@]2(C)C(=CC1=O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CYP2d6_ki
7.79,C[C@]12C=C(CCCc3ccccc3)C(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CYP2d6_ki
6.92,C[C@@]12CC[C@@H]3[C@H](CC=C4C(=O)CCC[C@]43C)[C@H]1CCC2=O,CYP2d6_ki
7.01,C[C@@]12CC[C@@H]3[C@H](CCC4=C(c5ccc(OS(N)(=O)=O)cc5)C(=O)CC[C@]43C)[C@H]1CCC2=O,CYP2d6_ki
8.55,CCCCC[C@H]1C[C@@H]2[C@H]3CCC(=O)[C@]3(C)CC[C@H]2[C@]2(C)CCC(=O)C=C12,CYP2d6_ki
8.55,CCCCCC[C@H]1C[C@@H]2[C@H]3CCC(=O)[C@]3(C)CC[C@H]2[C@]2(C)CCC(=O)C=C12,CYP2d6_ki
8.55,CCCCCCCC[C@H]1C[C@@H]2[C@H]3CCC(=O)[C@]3(C)CC[C@H]2[C@]2(C)CCC(=O)C=C12,CYP2d6_ki
8.03,CCCCC[C@@H]1C[C@@H]2[C@H]3CCC(=O)[C@]3(C)CC[C@H]2[C@]2(C)CCC(=O)C=C12,CYP2d6_ki
